Filename,Colors,Seasons,Occasions,Vibes,Confidence
nail-051.jpg,"Red, Neutral","","Valentine's Day, New Year's","Glam, French Tip, Whimsical",low
nail-052.jpg,"Orange, Neutral","Fall","","Floral, Minimalist, Elegant",high
nail-053.jpg,"Red","Winter","Christmas, New Year's","Glam, Detailed, Floral",high
nail-054.jpg,"White, Gold","Winter","Christmas, New Year's","Detailed, Glam",high
nail-055.jpg,"Neutral","Fall","","Minimalist, Whimsical",low
nail-056.jpg,"Brown, Green, Neutral","Fall","","Detailed, Elegant",low
nail-057.jpg,"Yellow, Blue, Red","Summer","","Floral, Whimsical",low
nail-058.jpg,"Pink, White","Spring","","Floral, Minimalist",high
nail-059.jpg,"Green","Spring","","Polka Dot, Minimalist, Elegant",low
nail-060.jpg,"Pink","Spring","","Minimalist, Polka Dot",low
nail-061.jpg,"Neutral","Fall","","Stripes, Geometric, Detailed",low
nail-062.jpg,"Purple, Green","Fall","","Floral, Geometric, Detailed",low
nail-063.jpg,"Blue","Summer","","Polka Dot, Minimalist",low
nail-064.jpg,"Yellow, White","Summer","","Floral, Polka Dot, Whimsical",low
nail-065.jpg,"Black","","","Floral, Detailed, Elegant",low
nail-066.jpg,"Green","Spring","","Floral, Minimalist",low
nail-067.jpg,"Pink","Spring","","Floral, Minimalist",high
nail-068.jpg,"Green","","","Polka Dot, Minimalist, Geometric",high
nail-069.jpg,"Neutral","Spring","","Floral, Minimalist, Elegant",low
nail-070.jpg,"Pink, Yellow, Blue","Spring","Easter","French Tip, Whimsical",low
nail-071.jpg,"Blue, Yellow","Summer","","Geometric, Whimsical",low
nail-072.jpg,"Red, Pink","Summer","","Floral, Glam",low
nail-073.jpg,"Neutral, Blue","","","French Tip, Detailed, Elegant",low
nail-074.jpg,"White, Pink","Spring","","Floral, Stripes, Minimalist",low
nail-075.jpg,"Orange, White","Summer","","Stripes, Abstract",low
nail-076.jpg,"Neutral, Green","Spring","","Floral, French Tip, Minimalist, Elegant",high
nail-077.jpg,"Neutral","Summer","","Whimsical, Minimalist, Abstract",low
nail-078.jpg,"Neutral","Spring","","Whimsical, Abstract, Detailed",low
nail-079.jpg,"White, Neutral","Spring","","French Tip, Floral, Elegant",high
nail-080.jpg,"Blue, Neutral","","","Floral, Elegant, Detailed, Glam",low
nail-081.jpg,"White, Green","Summer","","Whimsical, Detailed",low
nail-082.jpg,"Yellow, Blue","Summer","","Whimsical, Detailed, Stripes",high
nail-083.jpg,"Green, White","Fall","","Floral, Detailed",low
nail-084.jpg,"Blue, White","","","Detailed, Geometric, Elegant",low
nail-085.jpg,"White, Orange, Blue","Summer","","Detailed, Polka Dot, Whimsical",low
nail-086.jpg,"Blue, Orange","Summer","","Geometric, Floral, Detailed",low
nail-087.jpg,"Blue, White","Summer","","Whimsical, Detailed",low
nail-088.jpg,"Blue, White","Spring","","Floral, Minimalist",high
nail-089.jpg,"Blue","Winter","","Minimalist, Floral, Elegant",low
nail-090.jpg,"Gold, Neutral","Spring","","Elegant, Detailed, Floral",low
nail-091.jpg,"Neutral, Blue","","","Floral, Detailed, Elegant",low
nail-092.jpg,"White, Blue","Summer","","Floral, Whimsical, Detailed",low
nail-093.jpg,"White, Blue","Summer","","Stripes, Polka Dot",low
nail-094.jpg,"Orange, Green, Neutral","Summer","New Year's","Abstract, Stripes, Whimsical",low
nail-095.jpg,"Green, White","Spring","","Floral, Geometric, Minimalist",low
nail-096.jpg,"Blue, Neutral","Winter","","Geometric, French Tip, Minimalist, Elegant",low
nail-097.jpg,"Yellow, Blue","Summer","","Stripes, Whimsical, Detailed",high
nail-098.jpg,"Pink, Purple, Green","Spring","Easter","Whimsical, Floral",low
nail-099.jpg,"Purple","Spring","","Floral, Detailed, Elegant",high
nail-100.jpg,"Pink, Neutral","Spring","","Floral, Elegant, Minimalist",low
nail-101.jpg,"Pink","Spring","","Floral, Elegant, Minimalist",low
nail-102.jpg,"Neutral","","New Year's","Minimalist, Polka Dot, Detailed",low
nail-103.jpg,"White","Spring","","Minimalist, Floral, Elegant",low
nail-104.jpg,"Blue","Spring","","Floral, Minimalist",high
nail-105.jpg,"Grey","Winter","","Minimalist, Elegant, Abstract",low
nail-106.jpg,"Blue, Orange, White","Summer","","Floral, Whimsical",high
nail-107.jpg,"White, Green","","Valentine's Day","Minimalist, French Tip, Whimsical",low
nail-108.jpg,"Pink, White","Spring","","Floral, Minimalist, Elegant",high
nail-109.jpg,"Blue, Neutral","Summer","","Whimsical, Minimalist",low
nail-110.jpg,"Blue, Neutral","","Everyday","Geometric, Minimalist, Stripes",low
nail-111.jpg,"Yellow, Neutral","Spring","","Floral, Minimalist",low
nail-112.jpg,"Blue","Spring","","Floral, Minimalist",high
nail-113.jpg,"Neutral","","Everyday","Minimalist, Polka Dot",low
nail-114.jpg,"Purple","Spring","","Floral, Detailed, Elegant",high
nail-115.jpg,"Green, White","","","Polka Dot, Abstract, Minimalist",low
nail-116.jpg,"Neutral","","","Minimalist, Abstract, Geometric",high
nail-117.jpg,"Green","Spring","","Minimalist, Floral, Elegant",low
nail-118.jpg,"Yellow, Pink","","Everyday","Minimalist, Floral",low
nail-119.jpg,"Pink, Yellow, Blue","Spring","","Minimalist, Abstract",low
nail-120.jpg,"Neutral","","","Minimalist, Polka Dot",low
nail-121.jpg,"Pink","","","Minimalist, Geometric, Abstract",high
nail-122.jpg,"Grey","Winter","","Minimalist, Polka Dot, Elegant",low
nail-123.jpg,"Pink","Spring","","Geometric, Minimalist, Abstract",low
nail-124.jpg,"Green","Spring","","Minimalist, Ombre, Geometric",low
nail-125.jpg,"Pink, Blue, Yellow","Spring","","Abstract, Minimalist, Whimsical",low
nail-126.jpg,"Neutral","Spring","","Minimalist, Stripes, Elegant",low
nail-127.jpg,"Neutral","Spring","","Stripes, Minimalist, Abstract",low
nail-128.jpg,"Blue, Neutral","","","French Tip, Minimalist, Geometric",high
nail-129.jpg,"Blue","Summer","","Stripes, Geometric, Minimalist",high
nail-130.jpg,"Blue, White","","Everyday","Floral, Detailed, French Tip",low
nail-131.jpg,"Neutral","Spring","","Abstract, Minimalist, Geometric",low
nail-132.jpg,"Pink, Orange, Purple","Summer","","French Tip, Geometric, Whimsical",low
nail-133.jpg,"Pink, Green","Spring","","Whimsical, Floral, Detailed",high
nail-134.jpg,"Green, Yellow, White","Spring","","Floral, Whimsical, Minimalist",high
nail-135.jpg,"Blue","Winter","New Year's","Glam, Minimalist, Elegant",low
nail-136.jpg,"Blue, Pink, Yellow","Spring","","Floral, Whimsical, Minimalist",low
nail-137.jpg,"Green","Spring","","Floral, Minimalist, Whimsical",low
nail-138.jpg,"Neutral","","Everyday","Minimalist, Elegant, Stripes",high
nail-139.jpg,"Orange","Summer","","Geometric, Minimalist, Elegant",low
nail-140.jpg,"Green, Pink, Purple","Spring","","French Tip, Geometric, Minimalist",low
nail-141.jpg,"Blue, Orange, Green","Summer","","Geometric, Whimsical",low
nail-142.jpg,"Orange, Purple","","Everyday","Abstract, Whimsical",low
nail-143.jpg,"Orange, Blue","Summer","","Detailed, Whimsical, Geometric",low
nail-144.jpg,"Pink, Blue","Summer","","French Tip, Whimsical, Detailed",high
nail-145.jpg,"Blue","Spring","Easter","Minimalist, Whimsical",high
nail-146.jpg,"Pink, White","Spring","Easter","Polka Dot, Whimsical",high
nail-147.jpg,"Green, Orange","Fall","","Floral, Detailed, Whimsical",low
nail-148.jpg,"Neutral, Blue","Spring","","Floral, Stripes, Elegant, Minimalist",high
nail-149.jpg,"Blue","","Everyday","Detailed, Elegant, Abstract",low
nail-150.jpg,"Orange, Pink, Blue","Summer","","French Tip, Geometric, Whimsical",low
nail-151.jpg,"White, Green","Summer","","Whimsical, Detailed",high
nail-152.jpg,"Blue, White","Spring","","Floral, Minimalist",high
nail-153.jpg,"Blue","","Everyday","Geometric, Stripes, Minimalist",low
nail-154.jpg,"Blue, Yellow, White","Summer","","Floral, Detailed, Whimsical",high
nail-155.jpg,"White, Pink","Spring","","Geometric, Abstract, Minimalist",low
nail-156.jpg,"Neutral","","","Minimalist, Stripes, Geometric",high
nail-157.jpg,"Blue","Summer","","Whimsical, Floral, Detailed",low
nail-158.jpg,"Blue, Yellow, White","Summer","","Floral, Detailed, Whimsical",high
nail-159.jpg,"Yellow, Blue, Pink","Spring","","Minimalist, Abstract, Geometric",low
nail-160.jpg,"Green, Neutral","Spring","New Year's","Floral, Glam, Minimalist",low
nail-161.jpg,"Green","Summer","","Minimalist, Whimsical",low
nail-162.jpg,"Blue, White","Spring","","Floral, Detailed",low
nail-163.jpg,"Green","Fall","","Floral, Minimalist, Elegant",low
nail-164.jpg,"Blue","Summer","","Whimsical, Minimalist, Glam",low
nail-165.jpg,"Grey","","Everyday","Floral, Elegant, Minimalist",low
nail-166.jpg,"Green","Fall","","Minimalist, Abstract",high
nail-167.jpg,"Pink, Green","Summer","","Whimsical, Detailed",high
nail-168.jpg,"Blue, Green, Orange","","","French Tip, Geometric, Whimsical",low
nail-169.jpg,"Black","","","Detailed, Whimsical, Abstract",high
nail-170.jpg,"White, Neutral","","Everyday","French Tip, Polka Dot, Whimsical",low
nail-171.jpg,"Green, Neutral","Winter","Christmas, New Year's","Glam, Detailed",high
nail-172.jpg,"Neutral, White","Winter","New Year's","French Tip, Ombre, Glam, Elegant",high
nail-173.jpg,"Neutral, Blue","","New Year's","Ombre, Glam, Elegant",high
nail-174.jpg,"White, Neutral","Winter","New Year's","Ombre, Glam, Minimalist",high
nail-175.jpg,"Pink","","New Year's","Glam, Minimalist, Elegant",low
nail-176.jpg,"Blue, Gold","Winter","New Year's","Glam, Detailed, Whimsical, Ombre",low
nail-177.jpg,"Blue","Winter","","Minimalist, Elegant",high
nail-178.jpg,"Green","Winter","Christmas, New Year's","Glam, Detailed, Whimsical",high
nail-179.jpg,"Red","","New Year's","Glam, Minimalist, Elegant",high
nail-180.jpg,"Blue","Winter","New Year's","Glam, Minimalist, Elegant",high
nail-181.jpg,"Neutral","","New Year's","French Tip, Minimalist, Elegant",low
nail-182.jpg,"Red, Neutral","","New Year's","French Tip, Glam",low
nail-183.jpg,"Pink","","New Year's","Ombre, Glam, Minimalist",low
nail-184.jpg,"Neutral","","New Year's","Minimalist, Glam, Elegant",high
nail-185.jpg,"Red","Winter","Christmas, New Year's","Glam, Detailed, Whimsical",high
nail-186.jpg,"Red, White","Winter","Christmas, New Year's","French Tip, Glam, Detailed",low
nail-187.jpg,"Red, Neutral","Winter","Christmas, New Year's","French Tip, Glam, Detailed",low
nail-188.jpg,"Blue, Red","Summer","","Stripes, Whimsical, Detailed",low
nail-189.jpg,"White, Red, Blue","Summer","","Whimsical, Detailed",low
nail-190.jpg,"White, Neutral","Winter","","French Tip, Minimalist, Elegant",low
nail-191.jpg,"Red, Neutral","Winter","Christmas, New Year's","Whimsical, Detailed, Stripes",high
nail-192.jpg,"Neutral, Orange","Fall","","Floral, French Tip, Elegant",high
nail-193.jpg,"Red","Fall","","Detailed, Elegant, Abstract",high
nail-194.jpg,"Red, Green","Winter","Christmas, New Year's","Detailed, Glam, Polka Dot",high
nail-195.jpg,"Brown, Neutral","Fall","","Floral, Minimalist, Elegant",high
nail-196.jpg,"Purple","","New Year's","Glam, Elegant, Minimalist",low
nail-197.jpg,"Neutral, White","Winter","Christmas","French Tip, Detailed, Elegant",high
nail-198.jpg,"Neutral, White","Winter","Christmas, New Year's","Ombre, Glam, Detailed",high
nail-199.jpg,"Green, Neutral","Fall, Winter","","Geometric, Minimalist, Elegant",low
nail-200.jpg,"Red","Fall","New Year's","Glam, Detailed, Elegant",low
nail-201.jpg,"Red, Neutral","Fall","New Year's","Glam, Elegant, Detailed",high
nail-202.jpg,"Green, Neutral","Fall, Winter","","Geometric, Elegant",high
nail-203.jpg,"Green, Neutral","Fall, Winter","","Geometric, Minimalist, Elegant",low
nail-204.jpg,"Red, White","Fall","","Polka Dot, Whimsical, Minimalist",low
nail-205.jpg,"Green, Blue, Red","Fall","","Minimalist, Geometric, Elegant",low
nail-206.jpg,"White, Black","","Halloween","Whimsical, Detailed",high
nail-207.jpg,"Orange, Black","","Halloween","Polka Dot, Whimsical",high
nail-208.jpg,"Yellow, Black","Fall","","Geometric, Minimalist",low
nail-209.jpg,"Blue, White","Summer","4th of July","Stripes, Minimalist, Geometric",high
nail-210.jpg,"Purple","Fall","","Elegant, Minimalist, Detailed",low
nail-211.jpg,"Red, White","Winter","Christmas, New Year's","Whimsical, Detailed, French Tip",high
nail-212.jpg,"Red, Neutral","Winter","Christmas, New Year's","Detailed, Glam, Whimsical",high
nail-213.jpg,"Orange, Red","Fall","","Abstract, Elegant",low
nail-214.jpg,"Brown, Green","Fall","","Minimalist",low
nail-215.jpg,"Green","Spring","","Floral, Minimalist, Elegant",low
nail-216.jpg,"Orange","Summer","","Whimsical, Geometric, Glam, Detailed",low
